ENTRE RIOS DO SUL,5286272.249999999,8411,628.4950957080014,552.986,0.68,20.62,36987099.47,30083897.799999997,47488.62
ENTRE-IJUIS,8393971.010000002,2758,3043.4992784626547,119.912,0.703,33.33,19511339.04,17850418.83,68317.58
EREBANGO,3760613.09,2982,1261.1043226022803,152.793,0.712,21.74,20441522.75,16206073.290000001,36857.45
ERECHIM,45877581.01,106633,430.2381158740727,429.164,0.776,7.46,297865902.04,234782887.61,47080.69
ERNESTINA,4622772.460000001,3170,1458.2878422712936,238.558,0.716,24.39,17830522.49,16484880.6,45663.19
ERVAL GRANDE,4099868.54,6814,601.6830848253595,1759.717,0.687,14.29,28658593.95,24296955.99,19618.79
ERVAL SECO,5998072.769999999,4819,1244.6716683959326,285.677,0.681,31.75,19814675.220000003,18720856.34,19210.49
ESMERALDA,5986995.77,6802,880.1816774478094,357.181,0.685,12.5,23586094.33,21304918.42,32927.94
ESPERANCA DO SUL,3070550.4000000004,3287,934.1498022512931,829.587,0.68,37.04,22041434.150000002,19059471.16,65767.96
ESPUMOSO,13255873.59,2885,4594.75687694974,148.909,0.661,26.32,19298559.55,14366558.24,24151.55
ESTACAO,5757303.260000001,15591,369.27094221024953,783.642,0.765,10.15,57995077.67,50633655.35,49684.93
ESTANCIA VELHA,17730663.689999994,5940,2984.960217171716,99.757,0.753,13.89,26085940.56,20326088.44,60033.72
ESTEIO,64161513.49000001,50672,1266.2123754736344,51.779,0.757,15.27,148029472.19,120403419.41,29630.14
ESTRELA,20014632.630000003,83279,240.3322882119142,27.676,0.754,11.75,301406726.28000003,262107480.57000002,38249.4
ESTRELA VELHA,4572352.250000001,34399,132.92108055466733,185.026,0.767,11.11,118768302.72000001,103991011.67,43585.52
EUGENIO DE CASTRO,5208879.01,3650,1427.0901397260272,281.613,0.679,33.33,24031649.66,17907964.240000002,35090.1
FAGUNDES VARELA,3541708.9399999995,2352,1505.8286309523808,418.069,0.712,38.46,21153809.36,16704119.709999999,84768.84
FARROUPILHA,53896003.32,2741,19662.897964246626,134.295,0.763,142.86,19562560.08,15657151.959999999,28469.52
FAXINAL DO SOTURNO,3440975.46,73061,47.09729486319651,361.372,0.777,5.72,258342460.53,212320934.37,47878.78
FAXINALZINHO,2560390.9099999997,6663,384.2699849917454,169.514,0.72,15.87,28791682.87,21258781.72,30334.78
